count,start_year,start_month,start_day,start_hour,end_year,end_month,end_day,end_hour
332, 1994, 07,13,00, 1994, 07,19,00
333, 1994, 07,18,00, 1994, 07,24,00
334, 1994, 07,23,00, 1994, 07,29,00
335, 1994, 07,28,00, 1994, 08,03,00
336, 1994, 08,02,00, 1994, 08,08,00
337, 1994, 08,07,00, 1994, 08,13,00
338, 1994, 08,12,00, 1994, 08,18,00
339, 1994, 08,17,00, 1994, 08,23,00
340, 1994, 08,22,00, 1994, 08,28,00
341, 1994, 08,27,00, 1994, 09,02,00
342, 1994, 09,01,00, 1994, 09,07,00
343, 1994, 09,06,00, 1994, 09,12,00
344, 1994, 09,11,00, 1994, 09,17,00
345, 1994, 09,16,00, 1994, 09,22,00
346, 1994, 09,21,00, 1994, 09,27,00
347, 1994, 09,26,00, 1994, 10,02,00
348, 1994, 10,01,00, 1994, 10,07,00
349, 1994, 10,06,00, 1994, 10,12,00
350, 1994, 10,11,00, 1994, 10,17,00
351, 1994, 10,16,00, 1994, 10,22,00
352, 1994, 10,21,00, 1994, 10,27,00
353, 1994, 10,26,00, 1994, 11,01,00
354, 1994, 10,31,00, 1994, 11,06,00
355, 1994, 11,05,00, 1994, 11,11,00
356, 1994, 11,10,00, 1994, 11,16,00
357, 1994, 11,15,00, 1994, 11,21,00
358, 1994, 11,20,00, 1994, 11,26,00
359, 1994, 11,25,00, 1994, 12,01,00
360, 1994, 11,30,00, 1994, 12,06,00
361, 1994, 12,05,00, 1994, 12,11,00
362, 1994, 12,10,00, 1994, 12,16,00
363, 1994, 12,15,00, 1994, 12,21,00
364, 1994, 12,20,00, 1994, 12,26,00
365, 1994, 12,25,00, 1994, 12,31,00
366, 1994, 12,30,00, 1995, 01,05,00
367, 1995, 01,04,00, 1995, 01,10,00
368, 1995, 01,09,00, 1995, 01,15,00
369, 1995, 01,14,00, 1995, 01,20,00
370, 1995, 01,19,00, 1995, 01,25,00
371, 1995, 01,24,00, 1995, 01,30,00
372, 1995, 01,29,00, 1995, 02,04,00
373, 1995, 02,03,00, 1995, 02,09,00
374, 1995, 02,08,00, 1995, 02,14,00
375, 1995, 02,13,00, 1995, 02,19,00
376, 1995, 02,18,00, 1995, 02,24,00
377, 1995, 02,23,00, 1995, 03,01,00
378, 1995, 02,28,00, 1995, 03,06,00
379, 1995, 03,05,00, 1995, 03,11,00
380, 1995, 03,10,00, 1995, 03,16,00
381, 1995, 03,15,00, 1995, 03,21,00
382, 1995, 03,20,00, 1995, 03,26,00
383, 1995, 03,25,00, 1995, 03,31,00
384, 1995, 03,30,00, 1995, 04,05,00
385, 1995, 04,04,00, 1995, 04,10,00
386, 1995, 04,09,00, 1995, 04,15,00
387, 1995, 04,14,00, 1995, 04,20,00
388, 1995, 04,19,00, 1995, 04,25,00
389, 1995, 04,24,00, 1995, 04,30,00
390, 1995, 04,29,00, 1995, 05,05,00
391, 1995, 05,04,00, 1995, 05,10,00
392, 1995, 05,09,00, 1995, 05,15,00
393, 1995, 05,14,00, 1995, 05,20,00
394, 1995, 05,19,00, 1995, 05,25,00
395, 1995, 05,24,00, 1995, 05,30,00
396, 1995, 05,29,00, 1995, 06,04,00
397, 1995, 06,03,00, 1995, 06,09,00
398, 1995, 06,08,00, 1995, 06,14,00
399, 1995, 06,13,00, 1995, 06,19,00
400, 1995, 06,18,00, 1995, 06,24,00
401, 1995, 06,23,00, 1995, 06,29,00
402, 1995, 06,28,00, 1995, 07,04,00
403, 1995, 07,03,00, 1995, 07,09,00
404, 1995, 07,08,00, 1995, 07,14,00
405, 1995, 07,13,00, 1995, 07,19,00
406, 1995, 07,18,00, 1995, 07,24,00
407, 1995, 07,23,00, 1995, 07,29,00
408, 1995, 07,28,00, 1995, 08,03,00
